,pred_label,true_label
0,1,1
1,1,1
2,0,1
3,1,1
4,1,1
5,1,1
6,1,1
7,0,1
8,1,1
9,1,1
10,1,1
11,1,1
12,0,1
13,1,1
14,0,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,0,1
23,1,1
24,1,1
25,0,1
26,0,1
27,1,1
28,0,1
29,1,1
30,1,1
31,0,1
32,1,1
33,1,1
34,1,1
35,1,1
36,0,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,0,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,0,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,0,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,0,1
96,1,1
97,1,1
98,1,1
99,0,1
100,1,1
101,1,1
102,1,1
103,0,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,0,1
113,1,1
114,1,1
115,0,1
116,0,1
117,0,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,0,1
130,1,1
131,1,1
132,1,1
133,1,1
134,0,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,0,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,0,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,0,1
187,1,1
188,0,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,0,1
198,1,1
199,0,1
200,0,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,0,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,0,1
216,0,1
217,1,1
218,0,1
219,0,1
220,1,1
221,0,1
222,1,1
223,1,1
224,0,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,1
239,0,1
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,0,1
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
254,0,1
255,1,1
256,0,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,0,1
268,1,1
269,0,1
270,1,1
271,1,1
272,1,1
273,1,1
274,0,1
275,1,1
276,0,1
277,1,1
278,1,1
279,1,1
280,1,1
281,0,1
282,1,1
283,1,1
284,1,1
285,0,1
286,1,1
287,1,1
288,0,1
289,1,1
290,1,1
291,0,1
292,1,1
293,0,1
294,1,1
295,0,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,0,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,0,1
324,0,1
325,1,1
326,0,1
327,1,1
328,0,1
329,1,1
330,1,1
331,1,1
332,0,1
333,1,1
334,1,1
335,1,1
336,0,1
337,1,1
338,1,1
339,1,1
340,0,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,0,1
352,1,1
353,0,1
354,1,1
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,0,1
368,1,1
369,1,1
370,0,1
371,1,1
372,1,1
373,1,1
374,0,1
375,1,1
376,1,1
377,0,1
378,1,1
379,1,1
380,0,1
381,1,1
382,1,1
383,1,1
384,1,1
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,1,1
402,0,1
403,0,1
404,1,1
405,0,1
406,1,1
407,1,1
408,1,1
409,1,1
410,0,1
411,1,1
412,1,1
413,1,1
414,1,1
415,0,1
416,1,1
417,1,1
418,1,1
419,1,1
420,1,1
421,0,1
422,1,1
423,0,1
424,1,1
425,1,1
426,1,1
427,1,1
428,0,1
429,1,1
430,0,1
431,1,1
432,0,1
433,0,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,0,1
453,0,1
454,0,1
455,1,1
456,0,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
470,0,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,1,1
483,1,1
484,0,1
485,1,1
486,1,1
487,1,1
488,1,1
489,1,1
490,1,1
491,1,1
492,1,1
493,1,1
494,0,1
495,1,1
496,1,1
497,1,1
498,0,1
499,1,1
500,1,1
501,0,1
502,1,1
503,1,1
504,1,1
505,1,1
506,0,1
507,1,1
508,0,1
509,1,1
510,1,1
511,1,1
512,0,1
513,1,1
514,1,1
515,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,0,0
534,1,0
535,1,0
536,1,0
537,0,0
538,0,0
539,0,0
540,1,0
541,0,0
542,0,0
543,0,0
544,1,0
545,0,0
546,1,0
547,0,0
548,1,0
549,0,0
550,1,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,1,0
557,0,0
558,0,0
559,0,0
560,0,0
561,0,0
562,0,0
563,0,0
564,0,0
565,1,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,1,0
583,0,0
584,1,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,0
594,1,0
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,1,0
603,0,0
604,0,0
605,0,0
606,0,0
607,1,0
608,0,0
609,1,0
610,1,0
611,1,0
612,0,0
613,0,0
614,1,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,1,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,1,0
630,0,0
631,0,0
632,1,0
633,1,0
634,0,0
635,0,0
636,1,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,1,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,1,0
676,0,0
677,0,0
678,0,0
679,0,0
680,1,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,1,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,1,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,1,0
719,0,0
720,0,0
721,0,0
722,1,0
723,0,0
724,1,0
725,1,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,1,0
733,0,0
734,0,0
735,0,0
736,1,0
737,0,0
738,1,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,1,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,1,0
767,0,0
768,0,0
769,1,0
770,0,0
771,0,0
772,0,0
773,1,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,1,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,1,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,1,0
814,1,0
815,0,0
816,0,0
817,0,0
818,0,0
819,1,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,1,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,1,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,1,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,1,0
870,1,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,1,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,1,0
888,1,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,1,0
896,0,0
897,1,0
898,0,0
899,0,0
900,0,0
901,1,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,1,0
922,1,0
923,1,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,1,0
935,0,0
936,0,0
937,0,0
938,0,0
939,1,0
940,0,0
941,0,0
942,0,0
943,1,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,1,0
950,1,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,1,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,1,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,1,0
989,1,0
990,0,0
991,0,0
992,1,0
993,0,0
994,0,0
995,0,0
996,0,0
997,1,0
998,0,0
999,0,0
1000,0,0
1001,0,0
1002,0,0
1003,0,0
1004,0,0
1005,1,0
1006,0,0
1007,0,0
1008,0,0
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,1,0
1015,0,0
1016,0,0
1017,0,0
1018,0,0
1019,1,0
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,1,0
1026,1,0
1027,0,0
1028,0,0
1029,1,0
1030,0,0
1031,0,0
1032,0,0
1033,0,0
1034,0,0
1035,0,0
1036,0,0
1037,1,0
1038,0,0
1039,1,0
1040,0,0
1041,0,0
1042,0,0
1043,0,0
1044,0,0
1045,0,0
1046,0,0
1047,0,0
1048,0,0
1049,0,0
1050,0,0
1051,0,0
1052,0,0
1053,0,0
1054,0,0
1055,0,0
1056,0,0
1057,0,0
1058,0,0
1059,0,0
1060,0,0
1061,0,0
1062,0,0
1063,0,0
1064,0,0
1065,0,0
